x1,x2,x3,x4
0.11830963,0.70208194,0.69347563,0.21357209
0.1106931,0.70211459,0.67247854,0.20238567
0.10771737,0.70311043,0.65432335,0.19315457
0.10000547,0.70023845,0.63765404,0.19568543
0.09866657,0.69552238,0.60967245,0.19703224
0.09321047,0.68518426,0.58806325,0.16074264
0.08916353,0.66801628,0.55755937,0.12031553
0.08507275,0.64864424,0.46829374,0.10964562
0.08854713,0.62518594,0.42062643,0.12035966
0.10191904,0.59178618,0.3837241,0.15667512
0.10491637,0.53735656,0.32266526,0.16501728
0.11737419,0.51857863,0.32418568,0.18110088
0.11702318,0.51577078,0.32084492,0.20943821
0.12196961,0.46930266,0.29677886,0.23235459
0.13046042,0.43022744,0.24940016,0.26068474
0.12798455,0.41841931,0.2176184,0.27977611
0.12949137,0.41194293,0.2090286,0.28162802
0.15287387,0.41333426,0.22732922,0.28010818
0.18910299,0.44340527,0.24758054,0.29593661
0.23283806,0.49499934,0.2702508,0.32159354
0.27718342,0.52349791,0.2863419,0.33124393
0.30070293,0.52989232,0.30568542,0.34139899
0.37422974,0.52946713,0.3726604,0.35353885
0.36137971,0.51743993,0.44400655,0.3544882
0.3436242,0.49910156,0.48501288,0.34175507
0.32180187,0.48513936,0.50295051,0.31320766
0.30612271,0.49093814,0.51507343,0.30756048
0.31492435,0.5097199,0.53424802,0.31116599
0.31119833,0.51351213,0.57348763,0.28944273
0.28880253,0.51723532,0.60336253,0.21525215
0.26534565,0.54424397,0.60180985,0.15652792
0.27001828,0.58570374,0.58182268,0.12274933
0.29988631,0.61514267,0.57930036,0.11599457
0.3450567,0.62312867,0.58458956,0.12094476
0.33688162,0.59867272,0.56442083,0.10693621
0.4078877,0.58917383,0.57863494,0.1147239
0.46115774,0.60240536,0.59003302,0.11707196
0.52969129,0.62303554,0.61587229,0.12484393
0.57841513,0.62926429,0.63296827,0.14328538
0.59712552,0.6126576,0.6482386,0.16900968
0.61683689,0.57745932,0.67032106,0.19187409
0.65204637,0.54352469,0.72214237,0.19652783
0.69258648,0.51938235,0.75603486,0.19746111
0.73268951,0.50018106,0.77087435,0.20309762
0.7636459,0.48039974,0.7675432,0.20481914
0.78794498,0.44584973,0.76287869,0.19287802
0.80619109,0.42238245,0.73491213,0.20361129
0.81371689,0.41526815,0.72762201,0.18747511
0.81027028,0.40930517,0.72019422,0.16278239
0.80158959,0.41677549,0.70372743,0.14743418
0.79150964,0.42175622,0.68614102,0.13504587
0.77647631,0.39958147,0.67313319,0.12255441
0.76629247,0.37727967,0.6717551,0.10414363
0.75288993,0.36380604,0.65878459,0.07827508
0.73098681,0.35510725,0.63059093,0.0590084
0.71432867,0.34990739,0.60805839,0.05545378
0.73224429,0.34652443,0.58716471,0.06128716
0.7652476,0.3276354,0.58499321,0.0721874
0.74221711,0.28915276,0.49556293,0.06628491
0.76332438,0.28488324,0.53536942,0.09795157
0.77721195,0.28752166,0.57796584,0.14497701
0.77554139,0.29849732,0.60819867,0.19746294
0.76639625,0.3180482,0.62565455,0.25985063
0.74009125,0.33467265,0.63240603,0.30301204
0.73268364,0.34401976,0.63665751,0.32405276
0.73326146,0.33915233,0.68611771,0.32499786
0.74134533,0.32180583,0.72706584,0.34003821
