x1,x2,x3,x4
0.65628824,0.36458779,0.21569601,0.28019272
0.65888184,0.34965456,0.22777619,0.26176067
0.65989162,0.32274806,0.21914803,0.25209676
0.62774248,0.29386596,0.19153834,0.23445241
0.60180289,0.26199082,0.15954755,0.23425856
0.60422113,0.22807279,0.14287317,0.24061507
0.57958657,0.19932027,0.13690991,0.2282574
0.55251791,0.16951737,0.12213496,0.24749623
0.53902303,0.15046451,0.10981577,0.26679157
0.53223241,0.14147848,0.10882763,0.28792516
0.45317053,0.10838793,0.12436308,0.3043309
0.45180279,0.0979726,0.13694839,0.33170267
0.50724528,0.08770633,0.15315288,0.34746397
0.52883459,0.08194974,0.17956889,0.35527976
0.53430717,0.08647529,0.21682991,0.35798143
0.55148392,0.09961562,0.24489053,0.37012443
0.51601707,0.12318427,0.25819289,0.38363363
0.50300676,0.1610922,0.27416851,0.38634023
0.46967425,0.20987798,0.30680735,0.40099509
0.4551994,0.2677296,0.34841711,0.41304623
0.44759915,0.31949305,0.39483111,0.41882017
0.44689475,0.36860244,0.45659432,0.41919239
0.50211037,0.42450201,0.49710634,0.46832724
0.49529143,0.49341916,0.55197078,0.40988796
0.47600091,0.55305819,0.59802993,0.34941394
0.45417456,0.61450228,0.64420099,0.30804856
0.45741207,0.67545621,0.6838261,0.28999623
0.45852223,0.71307372,0.725411,0.29282334
0.48793374,0.74713856,0.76752674,0.29063412
0.56173653,0.79012147,0.80185914,0.26713593
0.64230244,0.83104462,0.82092854,0.20406424
0.72519557,0.85528552,0.81064182,0.16005386
0.78447044,0.86755481,0.80869662,0.1273087
0.83038885,0.87459806,0.81383529,0.11063491
0.85787739,0.88888772,0.8124861,0.10637633
0.87598459,0.89764115,0.80589717,0.10360961
0.88497355,0.90355324,0.80344186,0.09111843
0.88913671,0.90593539,0.80437969,0.07729033
0.87808158,0.90489647,0.81125312,0.07613972
0.87857248,0.90401538,0.81527011,0.08701349
0.87426556,0.90161036,0.81118353,0.10239428
0.86299168,0.89596803,0.8349761,0.11650397
0.8435226,0.88362955,0.85214042,0.1261225
0.81607956,0.86642503,0.86028489,0.12695626
0.78200624,0.84919462,0.86386336,0.11707333
0.75351378,0.83459085,0.86304767,0.09394176
0.74000152,0.78096135,0.86573734,0.080962
0.74511336,0.75917586,0.86595713,0.06571446
0.72214449,0.74738478,0.86119911,0.05768944
0.70750107,0.72460126,0.85137636,0.04931286
0.71852914,0.67353626,0.83645004,0.0429576
0.69881876,0.62871381,0.83086689,0.04233242
0.70149476,0.57089263,0.8284365,0.04613542
0.735874,0.54838598,0.82274555,0.05065817
0.75774169,0.53049499,0.80121655,0.0463925
0.77209348,0.5147777,0.80060209,0.0409335
0.78490141,0.50156805,0.78748859,0.04160339
0.78045874,0.46420259,0.76565115,0.04217886
0.78160967,0.39384198,0.69021148,0.03710078
0.78278027,0.35983359,0.71369352,0.04189232
0.79407552,0.34872362,0.74033664,0.05274593
0.77735549,0.35219579,0.76121198,0.07008273
0.7718314,0.35822686,0.7751639,0.09469998
0.77464666,0.37912037,0.78074085,0.11793042
0.73468,0.4046775,0.7732634,0.13116641
0.7013645,0.40613665,0.78588464,0.14225565
0.66347095,0.38418682,0.81702768,0.15697219
0.6428823,0.35697225,0.83339126,0.17201053
0.61984546,0.32858958,0.83251223,0.18495519
0.59139661,0.26945889,0.81723867,0.19487939
0.53510395,0.21984388,0.81168556,0.18438831
0.51529469,0.1908709,0.8183889,0.17170974
0.48898234,0.17960335,0.81509295,0.16733521
0.46389469,0.17133178,0.81494905,0.16630514
0.43878615,0.18001597,0.82036463,0.16951533
0.40974158,0.21001138,0.82468136,0.18107967
0.38404386,0.21527893,0.83017611,0.19634037
0.37250746,0.19903235,0.83242491,0.19797038
0.36864723,0.17786874,0.84590828,0.18102439
0.37116488,0.15882629,0.83728064,0.17948056
0.38575213,0.1479019,0.84799078,0.1967524
0.43362324,0.13726598,0.84597938,0.22124333
0.38036826,0.13302154,0.83785406,0.23368628
0.41352416,0.13856276,0.84584118,0.26167445
0.43115268,0.16744788,0.8605548,0.28477362
0.45124494,0.20160992,0.86726628,0.30316526
