x1,x2,x3,x4
0.2905114,0.6787803,0.30326502,0.5741475
0.27205821,0.72776685,0.26558927,0.55004228
0.26299812,0.76609606,0.22303243,0.52068773
0.25328929,0.78101623,0.195334,0.49479283
0.26045812,0.78731216,0.17984627,0.45214797
0.27075724,0.79848392,0.17537611,0.39681554
0.28708483,0.80739983,0.18163817,0.3776608
0.32142752,0.80807973,0.1979016,0.38737718
0.34157097,0.79852929,0.22403896,0.39296474
0.36106692,0.78703607,0.25649582,0.4134642
0.31003028,0.75539814,0.29765012,0.37287776
0.35106413,0.73845559,0.35310936,0.42036342
0.39107133,0.72050092,0.42450517,0.44688692
0.4182553,0.70221056,0.48473044,0.45967359
0.43588153,0.70025989,0.53345208,0.4567582
0.45346877,0.67474523,0.56118082,0.43290073
0.50489105,0.64899003,0.58914455,0.39394509
0.56872194,0.65017395,0.6198069,0.37571673
0.6225114,0.63559685,0.65061954,0.37675216
0.65459193,0.62568749,0.68340374,0.36746788
0.67711989,0.6240883,0.69685046,0.34375574
0.68093229,0.61746372,0.70959581,0.30260292
0.66669496,0.60904563,0.75196329,0.28745294
0.64687852,0.58339062,0.75112907,0.23529234
0.62137411,0.56845488,0.7413764,0.21261363
0.59061137,0.5558769,0.71899458,0.20981503
0.5601549,0.49740037,0.68845623,0.21149781
0.53973747,0.48492694,0.65616461,0.22909531
0.52176891,0.46494312,0.6128806,0.24376424
0.52511974,0.46228943,0.57009365,0.22110488
0.53705723,0.43642194,0.48071081,0.20284641
0.58987609,0.4187821,0.39708266,0.19812936
0.61435746,0.41118416,0.32670401,0.19867904
0.6027256,0.40802051,0.29582315,0.19905818
0.46205971,0.36847477,0.23030376,0.20998516
0.52759527,0.37079338,0.23567192,0.21489585
0.60085187,0.35928721,0.23754768,0.23002048
0.63341284,0.34565536,0.23708049,0.24597877
0.6378219,0.30643227,0.22615584,0.25268541
0.62709382,0.26196736,0.22035316,0.25439345
0.63406119,0.21559848,0.22632675,0.24796964
0.63581683,0.17133858,0.24725473,0.24805645
0.63003427,0.14314609,0.24681282,0.25364727
0.62306991,0.12556446,0.23895938,0.25527122
0.60870278,0.12043502,0.22816222,0.25951998
0.59247374,0.12186326,0.23048339,0.26933466
0.54848832,0.12812542,0.24594112,0.33836756
0.51017188,0.14190875,0.23814271,0.37728448
0.48701924,0.14513447,0.23772373,0.40365338
0.47744535,0.13920096,0.23308804,0.41729292
0.46165281,0.13048279,0.22978924,0.4183989
0.44536403,0.12066638,0.23178171,0.41561847
0.43804886,0.11354635,0.23872317,0.4051098
0.43142063,0.10117835,0.2380414,0.3913
0.43966417,0.08465443,0.22504679,0.37827197
0.45106655,0.07177474,0.20864587,0.38772097
0.46659321,0.06516636,0.21506008,0.40645608
0.48986474,0.06301605,0.23779171,0.43614504
0.52498582,0.07186505,0.2459973,0.43513527
0.5235872,0.06521915,0.27702707,0.46122626
0.57002604,0.06111919,0.30472919,0.48001422
0.61804714,0.05979138,0.31795911,0.48650901
0.66553547,0.06008831,0.31693864,0.47941384
0.69855823,0.05835346,0.31579003,0.45125229
0.70628922,0.05882697,0.32052231,0.41345018
0.70245336,0.05838146,0.31880486,0.38214586
0.70978159,0.05537459,0.30708532,0.37886761
0.71455278,0.04849917,0.27779246,0.38615567
0.72286881,0.04406712,0.2419866,0.39846619
0.73572731,0.04055019,0.20703435,0.38538141
0.73456523,0.04455967,0.19058283,0.37266333
0.72400806,0.04695511,0.16131608,0.32483309
0.7445592,0.04961351,0.13875293,0.29332473
0.76580273,0.05280289,0.12370968,0.2688067
0.77458441,0.05620974,0.11316589,0.24266051
0.78948098,0.05664352,0.1000867,0.21093818
0.79571161,0.06020253,0.0899202,0.16851278
0.80059099,0.0657442,0.07782733,0.15155458
0.79613242,0.07249689,0.06630352,0.14414539
0.80359571,0.08033298,0.06267174,0.14344383
0.77961427,0.08606883,0.06622498,0.14646965
0.73780009,0.09149925,0.06754804,0.16363475
0.62320874,0.13496664,0.05155874,0.17447695
0.62388452,0.12707489,0.05483958,0.19216124
0.64221949,0.12301578,0.06292911,0.19811844
0.662883,0.12414018,0.06910284,0.19945712
0.65147077,0.12969956,0.07062323,0.19646927
