x1,x2,x3,x4
0.76557669,0.72151446,0.42674161,0.62024916
0.76872043,0.69943889,0.43273958,0.59875146
0.76166269,0.66499902,0.43223774,0.58270811
0.74812419,0.63641813,0.41501431,0.57885214
0.73834954,0.58927027,0.39916184,0.57663371
0.73309414,0.54317478,0.39379251,0.58199547
0.70971417,0.51863542,0.38013024,0.57569898
0.68661769,0.51348887,0.35778844,0.59202823
0.66497398,0.50604833,0.33665474,0.60363474
0.65849458,0.5005567,0.31778981,0.58552396
0.62228434,0.52926347,0.32443457,0.50116672
0.65244451,0.53681971,0.31722035,0.51148143
0.66982935,0.54692542,0.31401918,0.49626173
0.67137196,0.57396949,0.29980335,0.46795321
0.65097128,0.5836247,0.28407409,0.44742797
0.63464493,0.5689421,0.2686244,0.41811588
0.60412498,0.56343478,0.25043113,0.37181363
0.58855161,0.56135054,0.23874993,0.31455528
0.57602999,0.56707015,0.23551222,0.29651455
0.56689893,0.56565538,0.23817948,0.29396383
0.56844485,0.57050378,0.2413293,0.27382572
0.55009717,0.58001383,0.24082028,0.2365053
0.51029954,0.58135294,0.24978176,0.20331381
0.47049275,0.59215555,0.24473687,0.18148585
0.464679,0.59653559,0.23709661,0.15426966
0.48430337,0.60093423,0.23112845,0.13350552
0.50912092,0.5910014,0.22378163,0.12142167
0.52115937,0.57693164,0.22378412,0.10721547
0.53058724,0.56282841,0.23185269,0.09269388
0.54297172,0.5511744,0.24145028,0.09879608
0.54682023,0.5451974,0.2481332,0.13871433
0.53585523,0.54093541,0.25597921,0.20940982
0.50953235,0.53800066,0.25809099,0.2628174
0.48216447,0.53360858,0.26223388,0.29016276
0.4055876,0.54869671,0.26525178,0.28274895
0.40641242,0.51339285,0.25928124,0.32123242
0.4073956,0.4908313,0.24724607,0.35458975
0.39215275,0.47903465,0.23476307,0.38316431
0.37161313,0.48350258,0.21662365,0.41530762
0.33811662,0.49194091,0.20200371,0.41818345
0.33397832,0.48827975,0.19196152,0.41239836
0.34122447,0.48212881,0.19644476,0.39786131
0.34353224,0.47769599,0.21139381,0.37916441
0.35482793,0.47126771,0.21839808,0.36175525
0.38754096,0.46817997,0.22167775,0.34286126
0.38996531,0.46193256,0.21716229,0.31886415
0.38587897,0.45010587,0.23745208,0.25658343
0.37631979,0.46355416,0.22502591,0.253277
0.37317706,0.4743333,0.22013332,0.2451502
0.37416362,0.48389594,0.21189485,0.23565761
0.36657713,0.49081021,0.19813493,0.22374445
0.36052906,0.47998094,0.1725273,0.21158286
0.35700366,0.4746865,0.15863411,0.19576357
0.36249274,0.46717747,0.1481436,0.1857117
0.36611711,0.45392428,0.14300266,0.16999272
0.37465248,0.44747848,0.12556746,0.15654562
0.38812828,0.43841687,0.11713689,0.15166068
0.44938255,0.44430319,0.11294697,0.15098708
0.50138664,0.46937018,0.11103301,0.15092038
0.54771971,0.47965223,0.11612262,0.18805184
0.57644617,0.46922899,0.12653076,0.22203568
0.57991194,0.44475334,0.14349914,0.2389022
0.55432334,0.42942651,0.16427618,0.24896442
0.53833377,0.4301901,0.16634212,0.25026582
0.52391918,0.42704019,0.17062009,0.2392198
0.5130716,0.4129649,0.18015094,0.21033784
0.50352464,0.40161113,0.18833025,0.17841793
0.4899304,0.39815587,0.19403297,0.15358255
0.48665075,0.40950569,0.20064311,0.13503091
0.48974325,0.42382741,0.20743982,0.1158143
0.51903096,0.40982117,0.22157097,0.07698048
0.48647325,0.42995119,0.21262123,0.08666747
0.45199499,0.44068969,0.20490296,0.10875632
0.40269287,0.44429212,0.2037742,0.13446307
0.37812762,0.46112886,0.20520532,0.16588961
0.37398173,0.46642036,0.20340195,0.18115752
0.3891549,0.46655328,0.20759457,0.177344
0.41119331,0.46057307,0.20913282,0.17012251
0.43304513,0.44119365,0.20581722,0.15997541
0.45210514,0.42252049,0.19458088,0.1610494
0.49456035,0.40373004,0.17789989,0.18198657
0.53602449,0.39151189,0.16991714,0.19686602
0.52816156,0.40285453,0.16461532,0.1749338
0.57279822,0.40728932,0.17682933,0.19843609
0.60031195,0.41094023,0.17937333,0.20961567
0.59038874,0.40387216,0.1793531,0.20763599
0.56081244,0.39301201,0.18217425,0.20005362
0.54190297,0.38795236,0.18699159,0.1946524
0.51995653,0.37186861,0.20024732,0.18857695
0.49474775,0.35945352,0.22438402,0.1740372
0.48343433,0.34858529,0.24613875,0.16671373
0.48675384,0.34923577,0.27511115,0.18119307
0.48628125,0.35446924,0.29906868,0.20391567
0.47374986,0.36489805,0.326467,0.22860045
0.44864399,0.3978602,0.3692669,0.25979382
0.46920403,0.40926149,0.37758255,0.26703011
0.48961353,0.41136116,0.38191987,0.27129281
0.49877101,0.41077358,0.39137181,0.27764534
0.51042947,0.41006482,0.39516224,0.28412429
0.51912066,0.40817543,0.39448367,0.29125761
0.52148816,0.39856274,0.39542173,0.29093378
0.52934467,0.37047992,0.39508307,0.29437956
0.54016523,0.34313703,0.39143621,0.31079868
0.53730241,0.34468311,0.38288412,0.33666241
0.54949123,0.31524862,0.36825191,0.37671531
