x1,x2,x3,x4
0.42814426,0.69868673,0.24510808,0.35728839
0.42954071,0.67015592,0.2159499,0.32230222
0.44343245,0.64494921,0.19919586,0.29202104
0.45812738,0.62032665,0.19258574,0.27714253
0.48209767,0.59868923,0.18389199,0.26298854
0.50556956,0.56404968,0.19163503,0.23813982
0.54199791,0.53626025,0.20142846,0.22581247
0.5805581,0.51343864,0.23121187,0.22775881
0.60727074,0.49941538,0.26311821,0.23450726
0.63601228,0.48685193,0.28406397,0.24610046
0.60127959,0.46236725,0.33947524,0.25769504
0.61231817,0.47294755,0.35948101,0.27053135
0.60757495,0.48681754,0.37999006,0.28093742
0.61003867,0.49227423,0.39128427,0.29048269
0.62569768,0.50498086,0.39685478,0.2883566
0.62021202,0.50668378,0.3867214,0.27478813
0.61910972,0.50570986,0.38228035,0.25808191
0.60403708,0.49565917,0.39529759,0.24179342
0.59100701,0.48013372,0.43074869,0.24298919
0.57448079,0.47010598,0.46530044,0.25476518
0.55309817,0.45706141,0.48223852,0.26947126
0.51926043,0.43702872,0.49461206,0.27481083
0.52626104,0.37512543,0.50010034,0.27226601
0.50852573,0.36796984,0.51386485,0.24320726
0.49985683,0.36166706,0.52439131,0.21963655
0.49159016,0.34757152,0.53320572,0.19463605
0.47847496,0.33100546,0.52967956,0.1702602
0.47740703,0.31781526,0.52017647,0.15972276
0.47587681,0.31229629,0.50449246,0.14945119
0.49125673,0.3151214,0.47636155,0.12603476
0.51421145,0.33413915,0.43642842,0.10365564
0.53559382,0.35042181,0.39938138,0.11099042
0.54534395,0.35864556,0.38809498,0.13361824
0.56793581,0.36011717,0.38708988,0.15995446
0.4946941,0.36273083,0.36768486,0.16659294
0.56308855,0.37218305,0.37213107,0.185489
0.62953769,0.3781251,0.37692875,0.20120553
0.64774052,0.38787066,0.38532274,0.21849662
0.65941948,0.3939466,0.38680131,0.24092812
0.6542923,0.38975108,0.39021823,0.26074447
0.64571272,0.3785384,0.39647155,0.27924322
0.63441657,0.36482655,0.4277457,0.27765737
0.61700841,0.35033324,0.45831533,0.27531993
0.59469841,0.33644398,0.472949,0.29508866
0.56753243,0.32669159,0.47135518,0.31967555
0.54514998,0.32117299,0.45851775,0.33211167
0.54539544,0.36968622,0.44687074,0.31775226
0.52833351,0.35836646,0.41616813,0.32836052
0.51237235,0.35020846,0.39419692,0.33120254
0.50492147,0.34694618,0.37915912,0.332302
0.51216515,0.34262899,0.37418984,0.32817309
0.51875198,0.33964873,0.37602868,0.32144077
0.51443046,0.33302577,0.37993815,0.30327299
0.51064132,0.3260016,0.37919017,0.28696943
0.51470017,0.31996334,0.37554861,0.24934128
0.51572973,0.31752291,0.35583591,0.22056023
0.53279676,0.32260764,0.35492482,0.19603635
0.54880111,0.32975735,0.35982788,0.17805776
0.56392278,0.34043204,0.34092736,0.15666764
0.55668404,0.32622802,0.36046848,0.15251216
0.56558346,0.31985557,0.37446938,0.15347716
0.58863276,0.31454844,0.37597245,0.16051581
0.60792056,0.31146613,0.37357284,0.16301666
0.6190958,0.31162453,0.37093297,0.1609708
0.6214957,0.3007781,0.37080943,0.15356035
0.62912794,0.28947549,0.38817326,0.14237057
0.63563365,0.27409278,0.40005486,0.13742341
0.64600048,0.25809171,0.39667314,0.1438616
0.66426523,0.24888841,0.38445316,0.1468581
0.67609228,0.25089151,0.36322924,0.14332082
0.7207408,0.24811664,0.36539406,0.13842759
0.69408557,0.24387372,0.35148604,0.12917294
0.67621295,0.24189343,0.34030785,0.11973977
0.67609831,0.24679338,0.33520462,0.11887072
0.66812561,0.24928978,0.33364634,0.12399977
0.64913364,0.24411266,0.33565117,0.12962009
0.62557913,0.24229008,0.34097272,0.12897531
0.60131493,0.2405385,0.34255981,0.10981211
0.57137055,0.2382002,0.34204446,0.10120088
0.54202821,0.24317111,0.31826048,0.10965279
0.54120468,0.24155767,0.31032271,0.13461146
0.49884118,0.23760032,0.31152095,0.16435102
0.37576253,0.23220963,0.2992519,0.18705983
0.36923486,0.21838008,0.31624156,0.20480428
0.39047447,0.21244586,0.33420903,0.22953369
0.42629538,0.2170896,0.34722768,0.24814769
0.43822277,0.2335288,0.35730932,0.2558172
0.4386578,0.2605814,0.36087296,0.26000623
0.42897747,0.27627271,0.36809153,0.26098105
0.43742021,0.29428056,0.38757091,0.25506871
0.44366504,0.30623377,0.40115212,0.26674129
0.44990179,0.32082449,0.40564812,0.28452827
0.45753162,0.32960276,0.4008404,0.28981345
0.46201354,0.33443984,0.39566242,0.28331385
0.46126531,0.2999988,0.40764205,0.27980362
0.42800482,0.29655028,0.40458727,0.26645026
0.42333747,0.29551666,0.39839563,0.2492771
0.43488027,0.29377685,0.40080174,0.23759762
0.43783761,0.29617042,0.40697785,0.23550284
0.4421927,0.29895303,0.41407172,0.23750038
0.45396708,0.30020372,0.42162636,0.2325331
0.45467921,0.29813845,0.42342749,0.20926731
0.45450271,0.29761917,0.42478808,0.19497279
0.45161171,0.30381986,0.39833938,0.20446184
0.46583121,0.31038358,0.39392512,0.23054112
0.46103112,0.31448773,0.40134015,0.26764138
0.42171253,0.32152593,0.41249763,0.29667237
0.4467833,0.32573194,0.43290026,0.31733532
0.46625772,0.31242467,0.45242883,0.33398809
0.48168789,0.29312063,0.46793581,0.35071779
0.4930318,0.27633879,0.48346328,0.36862718
0.48620182,0.26661718,0.50582018,0.38354788
0.47026835,0.26619558,0.5430373,0.38787854
0.47973582,0.25755676,0.58792862,0.38111247
0.49659362,0.25111917,0.61788324,0.39071998
0.50626353,0.24432638,0.6232444,0.41012959
0.51446825,0.23418765,0.61056126,0.4274153
0.5233733,0.22800482,0.5948041,0.43465019
0.53284424,0.21844657,0.59593012,0.4181467
0.52153824,0.2227868,0.58246096,0.39932427
0.51504474,0.21307876,0.56866506,0.37542562
0.52379953,0.2028827,0.55501824,0.34540666
0.53757025,0.1958096,0.53240611,0.31653944
0.5550146,0.19598887,0.50833931,0.29220117
0.58291577,0.2052542,0.48234147,0.27761666
0.5956502,0.21023121,0.4454952,0.25352118
0.58690986,0.21653303,0.41003862,0.23918933
0.57874486,0.23016948,0.34785922,0.22312907
0.57878489,0.24005459,0.30790729,0.21103464
0.57185119,0.25286659,0.2823366,0.21076286
0.47553084,0.25668661,0.24468516,0.18189741
0.48089867,0.26164118,0.24534502,0.18363766
0.48733664,0.25460139,0.24433661,0.18880724
0.5130047,0.24794191,0.23830543,0.20287802
0.5409854,0.25819379,0.2207278,0.22072931
0.54507675,0.27150532,0.20651289,0.2225137
0.53611875,0.2950454,0.19248971,0.22794062
0.55351115,0.31681338,0.19788864,0.23057615
0.5698323,0.33398857,0.20636272,0.23181289
0.58148421,0.33917079,0.20885828,0.23697495
0.58805367,0.33730952,0.21531057,0.2527878
0.58214457,0.33981771,0.22122295,0.2751043
0.5713962,0.29219005,0.26566828,0.28756918
0.56021306,0.30973753,0.27452885,0.30979092
0.56151724,0.32750981,0.2743747,0.33212865
0.56248267,0.34815924,0.27978807,0.34323978
0.5570687,0.37240757,0.28846412,0.3599663
0.54108528,0.39903271,0.2871869,0.36741141
0.52461078,0.4253435,0.28437456,0.35650348
0.5152848,0.44260843,0.28789705,0.33061511
0.49954357,0.45571982,0.27593966,0.30374475
0.48929318,0.46373166,0.24242352,0.28142901
0.49574346,0.47997879,0.21804693,0.26755854
0.50047588,0.49210723,0.20106012,0.27938091
0.46798706,0.48246856,0.16439432,0.28439809
0.44214185,0.50196691,0.16531597,0.30045138
0.44409567,0.51260795,0.15959297,0.31855227
0.46559684,0.52975578,0.15690764,0.34413393
0.46348228,0.54669468,0.146784,0.36187242
0.45388694,0.5685498,0.13832631,0.36780874
0.46318317,0.60072777,0.13913612,0.37059672
0.47846152,0.63247995,0.14502002,0.37009856
0.5096427,0.67085126,0.14858215,0.37981972
0.53701551,0.7043046,0.14033997,0.40416515
0.55716056,0.73203321,0.10833685,0.4242751
0.55124767,0.75038538,0.08271138,0.42604293
0.52887343,0.7002447,0.07636728,0.43280475
0.5167145,0.73253128,0.0698027,0.41662945
