time,year,FIN,SWE,NOR,DEN,BAL
01.01.2018 00:00 - 01.01.2018 01:00,2018,9715,15563,16989,3421,2634
01.01.2018 01:00 - 01.01.2018 02:00,2018,9410,15229,16762,3308,2567
01.01.2018 02:00 - 01.01.2018 03:00,2018,9242,15259,16509,3118,2502
01.01.2018 03:00 - 01.01.2018 04:00,2018,9260,15026,16109,3018,2486
01.01.2018 04:00 - 01.01.2018 05:00,2018,9364,14844,16152,2916,2494
01.01.2018 05:00 - 01.01.2018 06:00,2018,9586,15033,16205,2802,2563
01.01.2018 06:00 - 01.01.2018 07:00,2018,9597,15298,16566,2844,2541
01.01.2018 07:00 - 01.01.2018 08:00,2018,9813,15539,16866,2951,2760
01.01.2018 08:00 - 01.01.2018 09:00,2018,9827,15766,17174,3011,2857
01.01.2018 09:00 - 01.01.2018 10:00,2018,9864,16082,17420,3239,2985
01.01.2018 10:00 - 01.01.2018 11:00,2018,10047,16602,17805,3445,3088
01.01.2018 11:00 - 01.01.2018 12:00,2018,10071,16815,18103,3582,3147
01.01.2018 12:00 - 01.01.2018 13:00,2018,10070,17066,18276,3648,3177
01.01.2018 13:00 - 01.01.2018 14:00,2018,10173,17160,18408,3604,3167
01.01.2018 14:00 - 01.01.2018 15:00,2018,10488,17423,18453,3743,3241
01.01.2018 15:00 - 01.01.2018 16:00,2018,10650,17940,18638,3733,3471
01.01.2018 16:00 - 01.01.2018 17:00,2018,10667,18351,18820,3986,3537
01.01.2018 17:00 - 01.01.2018 18:00,2018,10754,18432,18723,4270,3503
01.01.2018 18:00 - 01.01.2018 19:00,2018,10742,18196,18550,4183,3464
01.01.2018 19:00 - 01.01.2018 20:00,2018,10550,17920,18317,3951,3357
01.01.2018 20:00 - 01.01.2018 21:00,2018,10184,17445,18121,3721,3316
01.01.2018 21:00 - 01.01.2018 22:00,2018,10458,16800,17774,3477,3115
01.01.2018 22:00 - 01.01.2018 23:00,2018,10289,16320,17197,3265,2878
01.01.2018 23:00 - 02.01.2018 00:00,2018,9856,15496,16690,3067,2664
02.01.2018 00:00 - 02.01.2018 01:00,2018,9562,14934,16195,2889,2482
02.01.2018 01:00 - 02.01.2018 02:00,2018,9367,14628,15899,2825,2426
