time,year,FIN,SWE,NOR,DEN,BAL
01.01.2018 00:00 - 01.01.2018 01:00,2018,0,0,0,0,0
01.01.2018 01:00 - 01.01.2018 02:00,2018,0,0,0,0,0
01.01.2018 02:00 - 01.01.2018 03:00,2018,0,0,0,0,0
01.01.2018 03:00 - 01.01.2018 04:00,2018,0,0,0,0,0
01.01.2018 04:00 - 01.01.2018 05:00,2018,0,0,0,0,0
01.01.2018 05:00 - 01.01.2018 06:00,2018,0,0,0,0,0
01.01.2018 06:00 - 01.01.2018 07:00,2018,0,0,0,0,0
01.01.2018 07:00 - 01.01.2018 08:00,2018,0,0,0,0,0.000212897
01.01.2018 08:00 - 01.01.2018 09:00,2018,0.000194884,4.50E-05,0,7.83E-05,0.018164669
01.01.2018 09:00 - 01.01.2018 10:00,2018,0.003855327,0.004824226,0.000181218,0.011252827,0.05075529
01.01.2018 10:00 - 01.01.2018 11:00,2018,0.010149977,0.006010258,0.005827449,0.03512693,0.081345136
01.01.2018 11:00 - 01.01.2018 12:00,2018,0.01288255,0.008438233,0.015089231,0.098357975,0.094485986
01.01.2018 12:00 - 01.01.2018 13:00,2018,0.010183097,0.011581302,0.020642175,0.116505281,0.088213316
01.01.2018 13:00 - 01.01.2018 14:00,2018,0.003929766,0.012645831,0.016265386,0.145807375,0.068089253
01.01.2018 14:00 - 01.01.2018 15:00,2018,5.67E-05,0.005684718,0.004935364,0.140704719,0.04600603
01.01.2018 15:00 - 01.01.2018 16:00,2018,0,0.000280848,0.000288866,0.020831159,0.004952302
01.01.2018 16:00 - 01.01.2018 17:00,2018,0,0,0,0,0
01.01.2018 17:00 - 01.01.2018 18:00,2018,0,0,0,0,0
01.01.2018 18:00 - 01.01.2018 19:00,2018,0,0,0,0,0
01.01.2018 19:00 - 01.01.2018 20:00,2018,0,0,0,0,0
01.01.2018 20:00 - 01.01.2018 21:00,2018,0,0,0,0,0
01.01.2018 21:00 - 01.01.2018 22:00,2018,0,0,0,0,0
01.01.2018 22:00 - 01.01.2018 23:00,2018,0,0,0,0,0
01.01.2018 23:00 - 02.01.2018 00:00,2018,0,0,0,0,0
02.01.2018 00:00 - 02.01.2018 01:00,2018,0,0,0,0,0
02.01.2018 01:00 - 02.01.2018 02:00,2018,0,0,0,0,0
02.01.2018 02:00 - 02.01.2018 03:00,2018,0,0,0,0,0
02.01.2018 03:00 - 02.01.2018 04:00,2018,0,0,0,0,0
02.01.2018 04:00 - 02.01.2018 05:00,2018,0,0,0,0,0
02.01.2018 05:00 - 02.01.2018 06:00,2018,0,0,0,0,0
02.01.2018 06:00 - 02.01.2018 07:00,2018,0,0,0,0,0
02.01.2018 07:00 - 02.01.2018 08:00,2018,0,0,0,0,0.000267791
02.01.2018 08:00 - 02.01.2018 09:00,2018,0.00016574,8.57E-05,0,0.000127369,0.05462972
02.01.2018 09:00 - 02.01.2018 10:00,2018,0.004328869,0.013067507,0.000452439,0.068670349,0.1475592
02.01.2018 10:00 - 02.01.2018 11:00,2018,0.014118725,0.032863093,0.032392437,0.270026204,0.18574074
02.01.2018 11:00 - 02.01.2018 12:00,2018,0.017120704,0.05484351,0.09272038,0.348581896,0.188523083
02.01.2018 12:00 - 02.01.2018 13:00,2018,0.019766958,0.058981044,0.11373056,0.422377055,0.155032789
02.01.2018 13:00 - 02.01.2018 14:00,2018,0.005660931,0.039207192,0.088300915,0.408009397,0.102539069
02.01.2018 14:00 - 02.01.2018 15:00,2018,9.86E-05,0.01763637,0.024902483,0.265881558,0.035576455
02.01.2018 15:00 - 02.01.2018 16:00,2018,0,0.000471852,0.000705327,0.02766865,0.001816537
02.01.2018 16:00 - 02.01.2018 17:00,2018,0,0,0,0,0
02.01.2018 17:00 - 02.01.2018 18:00,2018,0,0,0,0,0
02.01.2018 18:00 - 02.01.2018 19:00,2018,0,0,0,0,0
02.01.2018 19:00 - 02.01.2018 20:00,2018,0,0,0,0,0
02.01.2018 20:00 - 02.01.2018 21:00,2018,0,0,0,0,0
02.01.2018 21:00 - 02.01.2018 22:00,2018,0,0,0,0,0
02.01.2018 22:00 - 02.01.2018 23:00,2018,0,0,0,0,0
02.01.2018 23:00 - 03.01.2018 00:00,2018,0,0,0,0,0
03.01.2018 00:00 - 03.01.2018 01:00,2018,0,0,0,0,0
03.01.2018 01:00 - 03.01.2018 02:00,2018,0,0,0,0,0
03.01.2018 02:00 - 03.01.2018 03:00,2018,0,0,0,0,0
03.01.2018 03:00 - 03.01.2018 04:00,2018,0,0,0,0,0
03.01.2018 04:00 - 03.01.2018 05:00,2018,0,0,0,0,0
03.01.2018 05:00 - 03.01.2018 06:00,2018,0,0,0,0,0
03.01.2018 06:00 - 03.01.2018 07:00,2018,0,0,0,0,0
03.01.2018 07:00 - 03.01.2018 08:00,2018,0,0,0,0,0.000150734
03.01.2018 08:00 - 03.01.2018 09:00,2018,0.000184776,4.28E-05,0,1.55E-05,0.018452321
03.01.2018 09:00 - 03.01.2018 10:00,2018,0.005642295,0.002309968,0.000194949,0.001660688,0.071241229
03.01.2018 10:00 - 03.01.2018 11:00,2018,0.02170623,0.01134137,0.007291466,0.008150088,0.08506714
03.01.2018 11:00 - 03.01.2018 12:00,2018,0.030490604,0.026932418,0.034603335,0.033097282,0.087419657
03.01.2018 12:00 - 03.01.2018 13:00,2018,0.018167403,0.027094815,0.048897758,0.061079484,0.068186898
03.01.2018 13:00 - 03.01.2018 14:00,2018,0.004755517,0.011852084,0.030110428,0.101433886,0.052973119
03.01.2018 14:00 - 03.01.2018 15:00,2018,0.000110352,0.002076082,0.007218656,0.09642505,0.028274238
03.01.2018 15:00 - 03.01.2018 16:00,2018,0,9.43E-05,0.000418499,0.01516031,0.002045287
03.01.2018 16:00 - 03.01.2018 17:00,2018,0,0,0,1.55E-07,6.28E-10
03.01.2018 17:00 - 03.01.2018 18:00,2018,0,0,0,0,0
03.01.2018 18:00 - 03.01.2018 19:00,2018,0,0,0,0,0
03.01.2018 19:00 - 03.01.2018 20:00,2018,0,0,0,0,0
03.01.2018 20:00 - 03.01.2018 21:00,2018,0,0,0,0,0
03.01.2018 21:00 - 03.01.2018 22:00,2018,0,0,0,0,0
03.01.2018 22:00 - 03.01.2018 23:00,2018,0,0,0,0,0
03.01.2018 23:00 - 04.01.2018 00:00,2018,0,0,0,0,0
04.01.2018 00:00 - 04.01.2018 01:00,2018,0,0,0,0,0
04.01.2018 01:00 - 04.01.2018 02:00,2018,0,0,0,0,0
04.01.2018 02:00 - 04.01.2018 03:00,2018,0,0,0,0,0
04.01.2018 03:00 - 04.01.2018 04:00,2018,0,0,0,0,0
04.01.2018 04:00 - 04.01.2018 05:00,2018,0,0,0,0,0
04.01.2018 05:00 - 04.01.2018 06:00,2018,0,0,0,0,0
04.01.2018 06:00 - 04.01.2018 07:00,2018,0,0,0,0,0
04.01.2018 07:00 - 04.01.2018 08:00,2018,0,0,0,0,0.000265784
04.01.2018 08:00 - 04.01.2018 09:00,2018,0.000255302,4.91E-05,0,9.15E-05,0.050305815
04.01.2018 09:00 - 04.01.2018 10:00,2018,0.004759005,0.002126081,0.000271832,0.045588345,0.09676379
04.01.2018 10:00 - 04.01.2018 11:00,2018,0.010459792,0.006186171,0.007039926,0.164448135,0.12145204
04.01.2018 11:00 - 04.01.2018 12:00,2018,0.015097094,0.009147225,0.019239199,0.209341377,0.13346507
04.01.2018 12:00 - 04.01.2018 13:00,2018,0.012972342,0.009157192,0.021656966,0.23375225,0.13649838
04.01.2018 13:00 - 04.01.2018 14:00,2018,0.004539357,0.007265,0.015018226,0.204436311,0.104479787
04.01.2018 14:00 - 04.01.2018 15:00,2018,0.000151128,0.003049024,0.007078364,0.168971321,0.072896242
04.01.2018 15:00 - 04.01.2018 16:00,2018,0,0.000274355,0.000566254,0.022230639,0.007487408
04.01.2018 16:00 - 04.01.2018 17:00,2018,0,0,0,8.74E-07,1.69E-09
04.01.2018 17:00 - 04.01.2018 18:00,2018,0,0,0,0,0
04.01.2018 18:00 - 04.01.2018 19:00,2018,0,0,0,0,0
04.01.2018 19:00 - 04.01.2018 20:00,2018,0,0,0,0,0
04.01.2018 20:00 - 04.01.2018 21:00,2018,0,0,0,0,0
04.01.2018 21:00 - 04.01.2018 22:00,2018,0,0,0,0,0
04.01.2018 22:00 - 04.01.2018 23:00,2018,0,0,0,0,0
04.01.2018 23:00 - 05.01.2018 00:00,2018,0,0,0,0,0
05.01.2018 00:00 - 05.01.2018 01:00,2018,0,0,0,0,0
05.01.2018 01:00 - 05.01.2018 02:00,2018,0,0,0,0,0
05.01.2018 02:00 - 05.01.2018 03:00,2018,0,0,0,0,0
05.01.2018 03:00 - 05.01.2018 04:00,2018,0,0,0,0,0
05.01.2018 04:00 - 05.01.2018 05:00,2018,0,0,0,0,0
05.01.2018 05:00 - 05.01.2018 06:00,2018,0,0,0,0,0
05.01.2018 06:00 - 05.01.2018 07:00,2018,0,0,0,0,0
05.01.2018 07:00 - 05.01.2018 08:00,2018,0,0,0,0,0.000151939
05.01.2018 08:00 - 05.01.2018 09:00,2018,0.000196362,4.33E-05,0,7.90E-05,0.037107262
05.01.2018 09:00 - 05.01.2018 10:00,2018,0.004324014,0.001821581,0.000371233,0.027171189,0.096726403
05.01.2018 10:00 - 05.01.2018 11:00,2018,0.010234457,0.009038346,0.01527217,0.095822033,0.136665351
05.01.2018 11:00 - 05.01.2018 12:00,2018,0.013206021,0.022304725,0.070437777,0.126622121,0.160805919
05.01.2018 12:00 - 05.01.2018 13:00,2018,0.010451739,0.028059727,0.094297105,0.150108179,0.154031502
05.01.2018 13:00 - 05.01.2018 14:00,2018,0.003766465,0.018337093,0.084177654,0.161146536,0.120022331
05.01.2018 14:00 - 05.01.2018 15:00,2018,0.000137365,0.006335297,0.029529234,0.108543442,0.070985198
05.01.2018 15:00 - 05.01.2018 16:00,2018,0,0.000358405,0.000980796,0.019882964,0.007509205
05.01.2018 16:00 - 05.01.2018 17:00,2018,0,0,0,4.19E-06,1.69E-09
05.01.2018 17:00 - 05.01.2018 18:00,2018,0,0,0,0,0
05.01.2018 18:00 - 05.01.2018 19:00,2018,0,0,0,0,0
05.01.2018 19:00 - 05.01.2018 20:00,2018,0,0,0,0,0
05.01.2018 20:00 - 05.01.2018 21:00,2018,0,0,0,0,0
05.01.2018 21:00 - 05.01.2018 22:00,2018,0,0,0,0,0
05.01.2018 22:00 - 05.01.2018 23:00,2018,0,0,0,0,0
05.01.2018 23:00 - 06.01.2018 00:00,2018,0,0,0,0,0
06.01.2018 00:00 - 06.01.2018 01:00,2018,0,0,0,0,0
06.01.2018 01:00 - 06.01.2018 02:00,2018,0,0,0,0,0
06.01.2018 02:00 - 06.01.2018 03:00,2018,0,0,0,0,0
06.01.2018 03:00 - 06.01.2018 04:00,2018,0,0,0,0,0
06.01.2018 04:00 - 06.01.2018 05:00,2018,0,0,0,0,0
06.01.2018 05:00 - 06.01.2018 06:00,2018,0,0,0,0,0
06.01.2018 06:00 - 06.01.2018 07:00,2018,0,0,0,0,0
06.01.2018 07:00 - 06.01.2018 08:00,2018,0,0,0,0,0.000204022
06.01.2018 08:00 - 06.01.2018 09:00,2018,0.000229085,7.72E-05,0,8.80E-05,0.033462947
06.01.2018 09:00 - 06.01.2018 10:00,2018,0.003753504,0.009485505,0.000715756,0.030215398,0.116744146
06.01.2018 10:00 - 06.01.2018 11:00,2018,0.010327311,0.049029119,0.054804549,0.134076759,0.210629388
06.01.2018 11:00 - 06.01.2018 12:00,2018,0.012719476,0.102981412,0.145024174,0.207334281,0.249520122
06.01.2018 12:00 - 06.01.2018 13:00,2018,0.011449451,0.107297275,0.158527942,0.278073323,0.245489965
06.01.2018 13:00 - 06.01.2018 14:00,2018,0.004859411,0.060691849,0.134214006,0.292427723,0.185777206
06.01.2018 14:00 - 06.01.2018 15:00,2018,0.00027024,0.021262117,0.071708746,0.256563816,0.0916766
06.01.2018 15:00 - 06.01.2018 16:00,2018,0,0.00063996,0.002256172,0.045299467,0.010540722
06.01.2018 16:00 - 06.01.2018 17:00,2018,0,0,0,8.76E-06,6.04E-08
06.01.2018 17:00 - 06.01.2018 18:00,2018,0,0,0,0,0
06.01.2018 18:00 - 06.01.2018 19:00,2018,0,0,0,0,0
06.01.2018 19:00 - 06.01.2018 20:00,2018,0,0,0,0,0
06.01.2018 20:00 - 06.01.2018 21:00,2018,0,0,0,0,0
06.01.2018 21:00 - 06.01.2018 22:00,2018,0,0,0,0,0
06.01.2018 22:00 - 06.01.2018 23:00,2018,0,0,0,0,0
06.01.2018 23:00 - 07.01.2018 00:00,2018,0,0,0,0,0
07.01.2018 00:00 - 07.01.2018 01:00,2018,0,0,0,0,0
07.01.2018 01:00 - 07.01.2018 02:00,2018,0,0,0,0,0
07.01.2018 02:00 - 07.01.2018 03:00,2018,0,0,0,0,0
07.01.2018 03:00 - 07.01.2018 04:00,2018,0,0,0,0,0
07.01.2018 04:00 - 07.01.2018 05:00,2018,0,0,0,0,0
07.01.2018 05:00 - 07.01.2018 06:00,2018,0,0,0,0,0
07.01.2018 06:00 - 07.01.2018 07:00,2018,0,0,0,0,0
07.01.2018 07:00 - 07.01.2018 08:00,2018,0,0,0,0,0.000181722
07.01.2018 08:00 - 07.01.2018 09:00,2018,0.00091076,0.000177529,0,0.000232849,0.028907646
07.01.2018 09:00 - 07.01.2018 10:00,2018,0.061022613,0.03343104,0.00081267,0.125340452,0.133217706
07.01.2018 10:00 - 07.01.2018 11:00,2018,0.210421452,0.096984408,0.035181618,0.391759974,0.193872091
07.01.2018 11:00 - 07.01.2018 12:00,2018,0.253990487,0.129393724,0.065972632,0.505555842,0.225466429
07.01.2018 12:00 - 07.01.2018 13:00,2018,0.170926961,0.131078944,0.069862044,0.540108669,0.207964736
07.01.2018 13:00 - 07.01.2018 14:00,2018,0.036848615,0.110143271,0.063074539,0.496709729,0.161136441
07.01.2018 14:00 - 07.01.2018 15:00,2018,0.000519374,0.050333924,0.022569492,0.375082034,0.065614858
07.01.2018 15:00 - 07.01.2018 16:00,2018,0,0.00165601,0.000898786,0.074810703,0.004390812
07.01.2018 16:00 - 07.01.2018 17:00,2018,0,0,0,1.95E-05,2.90E-08
07.01.2018 17:00 - 07.01.2018 18:00,2018,0,0,0,0,0
07.01.2018 18:00 - 07.01.2018 19:00,2018,0,0,0,0,0
07.01.2018 19:00 - 07.01.2018 20:00,2018,0,0,0,0,0
07.01.2018 20:00 - 07.01.2018 21:00,2018,0,0,0,0,0
07.01.2018 21:00 - 07.01.2018 22:00,2018,0,0,0,0,0
07.01.2018 22:00 - 07.01.2018 23:00,2018,0,0,0,0,0
07.01.2018 23:00 - 08.01.2018 00:00,2018,0,0,0,0,0
08.01.2018 00:00 - 08.01.2018 01:00,2018,0,0,0,0,0
