time,year,FIN,SWE,NOR,DEN,BAL
01.01.2018 00:00 - 01.01.2018 01:00,2018,0.575273907,0.522407455,0.562135376,0.655262758,0.714792343
01.01.2018 01:00 - 01.01.2018 02:00,2018,0.58918726,0.513825055,0.548352741,0.653898383,0.727516693
01.01.2018 02:00 - 01.01.2018 03:00,2018,0.588360875,0.504907107,0.542843062,0.657534736,0.739595498
01.01.2018 03:00 - 01.01.2018 04:00,2018,0.59015619,0.499219236,0.537399708,0.668988383,0.75327587
01.01.2018 04:00 - 01.01.2018 05:00,2018,0.584184568,0.498536497,0.53962461,0.716931444,0.749274257
01.01.2018 05:00 - 01.01.2018 06:00,2018,0.57514061,0.494981636,0.532908189,0.767149981,0.736311224
01.01.2018 06:00 - 01.01.2018 07:00,2018,0.569543375,0.499073173,0.522694318,0.765362302,0.710859405
01.01.2018 07:00 - 01.01.2018 08:00,2018,0.553385491,0.498919213,0.506957015,0.775037282,0.690374876
01.01.2018 08:00 - 01.01.2018 09:00,2018,0.516147498,0.506105852,0.480819041,0.807238071,0.681925552
01.01.2018 09:00 - 01.01.2018 10:00,2018,0.493263086,0.509848693,0.46048938,0.818382514,0.693161047
01.01.2018 10:00 - 01.01.2018 11:00,2018,0.455016101,0.494204799,0.448319068,0.784630615,0.714864094
01.01.2018 11:00 - 01.01.2018 12:00,2018,0.459989116,0.48855304,0.425522888,0.801352788,0.707869911
01.01.2018 12:00 - 01.01.2018 13:00,2018,0.455548649,0.495788191,0.393961806,0.838654465,0.704939264
01.01.2018 13:00 - 01.01.2018 14:00,2018,0.474027092,0.504553267,0.364725119,0.875485562,0.709362417
01.01.2018 14:00 - 01.01.2018 15:00,2018,0.485437623,0.505809041,0.329926434,0.881211004,0.71668885
01.01.2018 15:00 - 01.01.2018 16:00,2018,0.479968563,0.511321646,0.299770218,0.859386825,0.729772226
01.01.2018 16:00 - 01.01.2018 17:00,2018,0.462152739,0.512384361,0.274903558,0.824991018,0.73816532
01.01.2018 17:00 - 01.01.2018 18:00,2018,0.435651216,0.508867863,0.256096417,0.787935425,0.739680504
01.01.2018 18:00 - 01.01.2018 19:00,2018,0.415988252,0.504913542,0.240784768,0.763901092,0.733148211
01.01.2018 19:00 - 01.01.2018 20:00,2018,0.407881887,0.496751121,0.224038351,0.753860119,0.723636562
01.01.2018 20:00 - 01.01.2018 21:00,2018,0.399971117,0.47988394,0.214288427,0.74924144,0.709880784
01.01.2018 21:00 - 01.01.2018 22:00,2018,0.400586663,0.461753521,0.21349185,0.726575601,0.696541401
01.01.2018 22:00 - 01.01.2018 23:00,2018,0.351983112,0.440238211,0.221299043,0.729493675,0.68468031
01.01.2018 23:00 - 02.01.2018 00:00,2018,0.347241196,0.433424332,0.229175124,0.692943492,0.669061467
02.01.2018 00:00 - 02.01.2018 01:00,2018,0.338564973,0.424763219,0.237774622,0.659686911,0.66107342
02.01.2018 01:00 - 02.01.2018 02:00,2018,0.339051828,0.424936178,0.236394104,0.632658847,0.656201178
02.01.2018 02:00 - 02.01.2018 03:00,2018,0.344284733,0.423261692,0.227509029,0.61985475,0.650901642
02.01.2018 03:00 - 02.01.2018 04:00,2018,0.348932744,0.418462817,0.222411197,0.600210765,0.64769472
02.01.2018 04:00 - 02.01.2018 05:00,2018,0.346764486,0.416786317,0.203566676,0.571841315,0.635436485
02.01.2018 05:00 - 02.01.2018 06:00,2018,0.32502895,0.411003044,0.19094774,0.536949548,0.619718401
02.01.2018 06:00 - 02.01.2018 07:00,2018,0.298855625,0.403848846,0.177257027,0.533964543,0.603513843
02.01.2018 07:00 - 02.01.2018 08:00,2018,0.278526866,0.388555844,0.167435197,0.537724427,0.595186138
02.01.2018 08:00 - 02.01.2018 09:00,2018,0.274841388,0.375690634,0.164095191,0.536309925,0.578081539
02.01.2018 09:00 - 02.01.2018 10:00,2018,0.266226954,0.366142076,0.164565484,0.531823517,0.547715794
02.01.2018 10:00 - 02.01.2018 11:00,2018,0.244576759,0.372990085,0.167363416,0.540769961,0.549182281
02.01.2018 11:00 - 02.01.2018 12:00,2018,0.246240837,0.356002244,0.165852803,0.493496057,0.534759334
02.01.2018 12:00 - 02.01.2018 13:00,2018,0.259607417,0.342383873,0.158286369,0.46524687,0.516133318
02.01.2018 13:00 - 02.01.2018 14:00,2018,0.287776723,0.336108455,0.146590849,0.469770059,0.505300079
02.01.2018 14:00 - 02.01.2018 15:00,2018,0.320506266,0.343805111,0.134558046,0.484589866,0.514029795
02.01.2018 15:00 - 02.01.2018 16:00,2018,0.353026489,0.345029165,0.120094588,0.470868637,0.519767923
02.01.2018 16:00 - 02.01.2018 17:00,2018,0.374353108,0.34619365,0.124882956,0.456968344,0.523549502
